V,A,C,T
1.5714285714285714,34,1.7,6
1.8571428571428572,66,1.9,6
2.7142857142857144,45,2,6
4,37,3.2,5
1.5714285714285714,37,1.6,5
5.142857142857143,43,3.5,3
1,34,2,6
2.5714285714285716,34,2.4,6
1.4285714285714286,41,1.8,6
2.142857142857143,59,2.6,7
4.142857142857143,30,3.6,5
2.5714285714285716,38,2.3,5
3.2857142857142856,26,2.5,4
1.8571428571428572,35,1.9,6
1.5714285714285714,66,1.8,7
1.1428571428571428,36,1.9,6
2.5714285714285716,60,2.8,7
5.142857142857143,30,3.6,5
1,31,1.8,7
4.142857142857143,42,2.1,6
2.7142857142857144,44,2,5
1,40,2,7
1.4285714285714286,42,1.8,7
1,42,1.6,6
5.571428571428571,40,3.4,3
4.714285714285714,39,3.2,3
4.285714285714286,33,3.5,5
3.4285714285714284,33,2.6,5
5.857142857142857,33,4.3,2
2,64,2.1,6
3.4285714285714284,34,3,5
5.428571428571429,23,3.2,2
3.4285714285714284,38,2.6,5
5,31,3.7,4
3.4285714285714284,29,3.6,5
4.285714285714286,44,2.8,5
1.7142857142857142,29,1.7,7
2,44,2.6,6
1,36,1.8,7
1,57,2.1,6
1.4285714285714286,34,2.1,6
5.857142857142857,44,3.5,2
2.2857142857142856,37,2.7,5
2.5714285714285716,31,2.8,6
1.8571428571428572,31,2,5
3,39,2.5,6
2.2857142857142856,39,1.7,6
1.7142857142857142,53,1.9,6
2,66,2.3,6
2,20,2.8,3
4.142857142857143,64,2.5,5
1,65,1.8,7
3,47,3,5
1.8571428571428572,69,1.7,7
2.5714285714285716,55,2.5,6
2.142857142857143,26,2,7
2.2857142857142856,60,3.3,6
6.428571428571429,58,3.4,1
2.142857142857143,37,2.5,6
5.857142857142857,42,4.3,2
1.5714285714285714,44,2.1,6
3.4285714285714284,31,2.6,5
3.142857142857143,38,1.9,6
1,30,1.4,7
1.2857142857142858,30,2.2,6
2.142857142857143,26,2.2,6
1,33,1.4,7
2.857142857142857,25,2.5,6
2.5714285714285716,27,2.4,6
1.5714285714285714,37,1.7,6
3.142857142857143,55,2.6,6
2.2857142857142856,43,2.4,5
1.4285714285714286,55,2.2,7
2.4285714285714284,48,2.4,5
4,34,3.8,2
2.4285714285714284,64,2.2,5
5.142857142857143,27,3.9,4
2.2857142857142856,40,3.1,6
2.142857142857143,27,1.8,6
3.857142857142857,31,2.7,5
2.4285714285714284,28,1.8,5
2.4285714285714284,34,2.3,6
3.5714285714285716,44,2.9,5
1.8571428571428572,38,2,6
5.285714285714286,29,3.1,5
1.8571428571428572,30,1.8,6
2.142857142857143,65,2.3,6
1.1428571428571428,34,2.1,6
1,65,1.5,6
1.8571428571428572,21,1.7,7
1.1428571428571428,56,2.5,7
2.7142857142857144,59,1.9,5
1,32,1.7,7
1.2857142857142858,34,2,6
4.857142857142857,31,2.5,3
2.142857142857143,48,2.6,6
1,60,1.7,7
1,39,1.5,7
2.5714285714285716,27,2.3,5
2.2857142857142856,35,2.3,6
2,54,2,7
1,39,1.6,7
2.7142857142857144,42,2.8,5
2.4285714285714284,39,2.5,5
1.5714285714285714,71,1.8,7
1,66,1.5,7
1.7142857142857142,39,2,6
3.7142857142857144,45,2.6,5
2,56,1.8,6
2.2857142857142856,65,2.6,7
2.2857142857142856,27,2.1,6
5.142857142857143,32,3.3,5
4.714285714285714,35,3.4,3
1.1428571428571428,39,1.9,6
4.714285714285714,28,2.9,4
3,47,2.8,5
1,39,1.7,7
2,31,2.2,6
3,50,2.3,5
2.2857142857142856,43,2.3,6
3.5714285714285716,26,2.3,6
2.142857142857143,60,2.4,6
1,49,2.2,7
1,51,1.4,7
1.8571428571428572,73,1.8,7
1.7142857142857142,28,1.9,6
3.4285714285714284,27,2.5,7
6.571428571428571,23,4.1,2
3,35,2.8,5
4.142857142857143,38,2.6,6
2.7142857142857144,41,2.4,6
1.7142857142857142,61,2.7,7
4.285714285714286,51,2.5,6
1.1428571428571428,45,1.8,6
1.1428571428571428,58,1.7,7
2.5714285714285716,30,2.1,5
1.7142857142857142,38,2.8,6
1.7142857142857142,21,1.8,7
1,32,1.7,6
1,44,2.1,7
1,42,1.5,7
2.7142857142857144,54,2,6
1.7142857142857142,33,1.6,6
1,37,1.4,7
1,36,1.7,7
2.4285714285714284,64,2.6,5
1.7142857142857142,30,2.6,6
1.8571428571428572,36,1.8,6
3.5714285714285716,32,2.8,3
2,55,1.9,6
1,37,1.4,7
2.142857142857143,28,2.1,6
2.4285714285714284,44,2.2,5
2.857142857142857,22,2.1,6
2.7142857142857144,35,2.4,5
5.857142857142857,30,3.4,5
6.142857142857143,30,4,3
2.2857142857142856,27,1.6,7
4.142857142857143,40,2.6,5
1,31,1.7,7
1.4285714285714286,30,2.2,7
1,45,2.3,6
1.7142857142857142,27,1.9,6
1.5714285714285714,34,2,7
1.2857142857142858,63,1.9,6
1,40,2,7
3.142857142857143,43,1.9,6
1.4285714285714286,47,1.5,6
2.142857142857143,41,1.6,6
1.1428571428571428,28,1.8,6
1.8571428571428572,57,1.8,6
4.428571428571429,38,2.9,5
1.2857142857142858,39,1.5,6
4.571428571428571,28,3,1
2.4285714285714284,57,2.2,6
2,27,2,7
1.8571428571428572,25,2.1,7
1.2857142857142858,36,2,6
1,59,2.9,7
1.4285714285714286,29,1.7,6
3.2857142857142856,32,2.6,5
5.428571428571429,28,3.7,3
3,72,2.4,6
2,29,2.6,5
3.142857142857143,33,3.3,5
1,40,1.4,7
1,63,1.7,6
1,34,2.2,7
5.285714285714286,41,3.2,2
1.2857142857142858,31,1.6,7
4,38,3.2,4
2.7142857142857144,38,2.7,5
2.7142857142857144,32,1.9,6
2,21,1.9,7
2.5714285714285716,46,2.8,5
5.571428571428571,25,4.9,3
1.1428571428571428,29,1.6,7
1.8571428571428572,36,1.7,6
3,32,2.6,5
2,52,2.3,5
1.7142857142857142,51,1.6,6
5.857142857142857,25,3.6,6
1,37,2.4,7
5.428571428571429,57,2.9,5
3.142857142857143,33,2.5,5
2.4285714285714284,45,2.2,6
4,58,2.4,4
3.142857142857143,68,2.9,6
3.4285714285714284,43,2.3,5
1.1428571428571428,51,1.4,7
2.857142857142857,38,3.3,5
2.4285714285714284,49,1.8,7
1.2857142857142858,57,2.2,6
1.1428571428571428,21,1.5,6
2.5714285714285716,49,2.6,5
1.4285714285714286,67,2.1,6
2.142857142857143,28,3,6
4.857142857142857,41,4,5
1,33,1.8,7
2.2857142857142856,38,1.9,2
1,28,1.9,7
3.142857142857143,30,2.9,6
2.4285714285714284,62,1.9,6
2.7142857142857144,54,2.5,6
2.857142857142857,50,2,6
2.5714285714285716,58,2.6,6
2,61,1.8,6
2.5714285714285716,65,2.4,6
2.7142857142857144,28,2.4,6
1.7142857142857142,47,1.7,6
4,66,3.1,5
1,34,1.5,7
1.8571428571428572,57,2.6,6
3.4285714285714284,30,3.1,5
3.142857142857143,42,2.3,6
2.7142857142857144,34,2.1,6
1.4285714285714286,35,1.5,6
2.142857142857143,23,2.3,6
1.7142857142857142,64,1.7,6
2,40,2.7,5
1,30,1.4,7
1,22,1.7,7
3.4285714285714284,54,2.8,6
3.5714285714285716,38,2.2,6
1.4285714285714286,20,2.1,5
2.4285714285714284,47,1.8,6
2,31,2.5,5
4.285714285714286,31,3.4,5
2.142857142857143,55,2.4,6
1.7142857142857142,39,1.9,6
3.142857142857143,36,2.4,6
1.8571428571428572,32,2.2,6
1.5714285714285714,41,1.7,6
5.571428571428571,46,3.6,2
3.142857142857143,49,2.8,5
2.7142857142857144,36,2.3,6
1,32,1.8,6
3.4285714285714284,31,2.5,6
1.8571428571428572,36,1.6,6
3.857142857142857,31,3.4,5
1.1428571428571428,30,1.7,6
2.4285714285714284,31,2.8,6
1.1428571428571428,62,1.7,7
4.285714285714286,30,2.8,3
2.142857142857143,40,1.6,6
1.2857142857142858,72,2.1,7
5.142857142857143,35,3.4,5
1.8571428571428572,65,2,5
2.142857142857143,25,2.1,6
2,33,2.7,6
1.8571428571428572,76,2.2,7
4.142857142857143,64,3,5
2.142857142857143,29,2.8,5
1,62,1.7,7
4,30,2.3,5
1.1428571428571428,42,1.8,7
2,42,2.1,6
1.2857142857142858,22,1.9,6
1.7142857142857142,29,1.7,7
2,44,2.7,5
1,35,1.7,7
2.2857142857142856,34,1.6,4
1,61,1.6,7
1,58,2,6
2.2857142857142856,31,2.2,6
1.1428571428571428,62,1.4,6
1.4285714285714286,44,1.9,6
1.1428571428571428,24,1.7,6
2.2857142857142856,41,2.8,5
1.1428571428571428,52,1.8,6
1,50,2.2,6
1,31,1.4,7
2.2857142857142856,44,2.8,6
1.7142857142857142,40,1.7,7
3.142857142857143,48,2.6,6
2.142857142857143,34,2,6
1.2857142857142858,40,2,6
1,36,2,7
1,44,1.6,7
1,35,1.9,7
2.857142857142857,54,2.8,5
2,30,2.2,6
4.285714285714286,57,3.3,6
5.428571428571429,34,2.4,3
1.7142857142857142,23,2,6
2.4285714285714284,29,1.9,5
2.5714285714285716,30,2.4,5
1.8571428571428572,45,2.2,6
4.285714285714286,32,3.5,4
1,29,1.7,7
2.2857142857142856,70,2.5,6
3,33,2.5,6
3.142857142857143,29,2.5,5
3.4285714285714284,28,2.8,7
3.2857142857142856,59,2,5
1.4285714285714286,60,1.6,7
2,26,1.9,6
1,39,1.6,7
3.857142857142857,38,2.4,6
4.428571428571429,30,2.9,4
1.2857142857142858,26,1.4,7
2,36,2,6
1.4285714285714286,23,1.8,7
3.4285714285714284,44,2.9,5
2.2857142857142856,34,1.9,6
2.142857142857143,47,2.3,6
1.8571428571428572,30,2.1,6
1.5714285714285714,55,2,6
1.7142857142857142,22,1.5,7
3.2857142857142856,36,2.7,6
1.1428571428571428,51,2.3,6
2.7142857142857144,34,1.7,6
1.7142857142857142,58,1.5,7
2.2857142857142856,45,1.8,5
3.7142857142857144,31,3.2,4
2.142857142857143,40,2.2,6
2,29,1.8,6
1,38,2.2,7
4.285714285714286,53,2.5,6
2.4285714285714284,34,2.5,6
2.857142857142857,22,2,5
2,26,2.1,6
3.5714285714285716,55,3.4,6
3,40,2.8,5
1.5714285714285714,41,1.8,6
2,54,2.2,6
1,35,1.4,7
3.857142857142857,42,2.9,6
2.5714285714285716,30,2.1,6
1.7142857142857142,57,1.8,6
2,67,1.7,7
1,28,2.1,2
5.142857142857143,51,2.6,5
2,47,2,6
1.4285714285714286,28,2.6,5
2.4285714285714284,35,2.3,6
3.2857142857142856,31,2,4
1.1428571428571428,25,1.6,6
3,26,2.1,6
3.2857142857142856,36,2.5,5
2,43,2.9,7
2.5714285714285716,43,2.7,6
3.7142857142857144,35,3,5
3.7142857142857144,35,2.9,5
1.4285714285714286,43,1.8,7
2,32,2.2,7
4.142857142857143,45,2.5,5
2.857142857142857,37,2.2,5
2.4285714285714284,29,1.8,5
2.2857142857142856,34,2.4,5
1.2857142857142858,26,1.9,7
2.142857142857143,45,1.9,6
2.2857142857142856,34,2.5,6
2.2857142857142856,34,1.9,6
1.5714285714285714,31,2.3,6
1.7142857142857142,71,1.9,7
1,44,1.5,6
6.857142857142857,38,5,1
4.428571428571429,55,3.3,6
2.142857142857143,40,2,6
1.8571428571428572,53,2.7,6
1,51,1.7,7
1.5714285714285714,38,1.5,6
2.2857142857142856,33,2.6,6
1.8571428571428572,23,2.1,6
3.142857142857143,52,2.4,6
2.142857142857143,21,2.5,6
2.142857142857143,54,2.2,6
2,69,2.1,6
3.857142857142857,47,3,4
4.428571428571429,36,2.6,5
1.1428571428571428,67,1.7,7
3.7142857142857144,39,3.8,5
2,58,1.8,6
1.1428571428571428,56,1.8,6
4,37,2.4,5
1.5714285714285714,31,2.4,7
1.8571428571428572,36,1.8,6
4.714285714285714,26,2.9,3
2,50,2.5,7
3,28,2.4,5
4.571428571428571,44,3,5
4,28,2.8,3
4,58,2.5,6
1.8571428571428572,59,1.9,6
3.7142857142857144,44,2.6,6
3.142857142857143,23,2.6,5
1,35,1.7,7
6.714285714285714,67,4,1
4.285714285714286,35,3,5
1.1428571428571428,29,1.5,5
3.857142857142857,56,2.4,6
1.7142857142857142,42,2.8,6
1.8571428571428572,32,2,6
1,40,1.7,7
3.4285714285714284,22,3.3,5
1.1428571428571428,35,1.9,7
3.142857142857143,24,2.5,5
1.7142857142857142,25,2,5
2.5714285714285716,50,2.2,6
3.857142857142857,59,2.2,6
1,52,1.5,7
4.428571428571429,39,2.7,4
1,36,1.8,7
1.7142857142857142,39,2,6
4.142857142857143,35,3.5,2
4.714285714285714,29,4.3,3
1.8571428571428572,37,2.2,6
3.857142857142857,40,2.8,5
3,48,2.3,6
1.2857142857142858,44,1.9,5
4.857142857142857,27,2.7,5
3.2857142857142856,46,2.8,6
3.142857142857143,20,2.8,5
1.8571428571428572,37,1.9,7
1.1428571428571428,58,1.7,6
1,56,1.7,7
5.285714285714286,46,2.3,7
1.5714285714285714,62,1.5,6
1.2857142857142858,21,1.6,6
2,67,2.4,6
2,39,1.8,6
1.1428571428571428,62,1.4,7
1,49,1.9,7
1,26,1.7,6
1,44,1.9,7
2.857142857142857,52,2.4,5
1,60,2,6
1.7142857142857142,30,1.8,6
1.8571428571428572,34,2.4,6
1,22,1.8,6
2.2857142857142856,58,1.8,7
4.428571428571429,43,3.4,2
1,77,1.7,7
2.142857142857143,60,1.8,5
1.5714285714285714,55,1.6,7
1.2857142857142858,49,1.7,7
4,62,2.6,5
2.857142857142857,32,2.8,6
1.1428571428571428,43,2.1,6
1.7142857142857142,25,1.8,7
2.142857142857143,25,2.5,6
2.857142857142857,28,2.2,5
2,57,1.5,7
1.4285714285714286,34,1.9,6
2.142857142857143,40,1.7,6
1.7142857142857142,71,1.6,6
4.857142857142857,28,3,4
4.428571428571429,44,2.8,3
2.857142857142857,47,2.3,5
2,62,1.8,6
5,44,3.4,5
3,47,2.4,6
3.857142857142857,79,2.8,5
1.5714285714285714,43,1.6,5
1.1428571428571428,77,1.5,7
2.2857142857142856,63,2.5,6
3.2857142857142856,51,2.7,6
3.142857142857143,51,2.6,5
2.2857142857142856,27,2.1,6
2.7142857142857144,64,2.4,5
1.7142857142857142,29,2.4,6
1.1428571428571428,57,1.6,6
2,47,2.5,5
1,29,1.5,7
2.142857142857143,36,1.8,6
1,32,1.7,7
1.8571428571428572,31,2.2,6
1.4285714285714286,36,1.5,5
2.2857142857142856,51,1.8,6
